Final Place,Team Name,Top 5 Salary,Percent,Playoffs
1,Bruins,30.166667,0.469155008,1
2,Ducks,28.875,0.449066874,1
3,Avs,22.85,0.355365474,1
4,Blues,26.105,0.405987558,1
5,Sharks,31.326667,0.487195443,1
6,Penguins,32.4,0.503888025,1
7,Chicago,29.838462,0.464050731,1
8,Tampa,27,0.419906687,1
9,Kings,30.622727,0.476247698,1
10,Mont,26.75,0.416018663,1
11,Wild,33.831924,0.526157449,1
12,NYR,30.016667,0.466822193,1
13,Flyers,25.441429,0.395667636,1
14,CBJ,25.525,0.396967341,1
15,Det,26.779543,0.416478118,1
16,Stars,27.4,0.426127527,1
17,Capitals,30.788462,0.478825226,0
18,Coyotes,21.8,0.33903577,0
19,Preds,27.307143,0.424683406,0
20,Sens,26.433333,0.411093826,0
21,Devils,24.85,0.386469673,0
22,Leafs,26.65,0.414463453,0
23,Jets,26.942857,0.419017994,0
24,Canes,33.275,0.517496112,0
25,Canucks,26.8,0.416796267,0
26,NYI,20.657143,0.321261944,0
27,Flames,23.27,0.361897356,0
28,Oilers,23.8625,0.371111975,0
29,Panthers,22.267875,0.346312208,0
30,Sabers,22.25,0.346034215,0
1,NYR,32.425,0.469927536,1
2,Mont,30.75,0.445652174,1
3,Ducks,29.375,0.425724638,1
4,Blues,29.2,0.423188406,1
5,Tampa,28.4,0.411594203,1
6,Preds,28.057143,0.406625261,1
7,Chicago,30.3,0.439130435,1
8,Canucks,30,0.434782609,1
9,NYI,23.9375,0.34692029,1
10,Capitals,33.571795,0.486547754,1
11,Wild,33.926924,0.491694551,1
12,Det,28.525,0.413405797,1
13,Sens,22.35,0.323913043,1
14,Jets,25.65,0.37173913,1
15,Penguins,35.45,0.513768116,1
16,Flames,21.77,0.315507246,1
17,Bruins,33.041667,0.478864739,0
18,Kings,30.477727,0.441706188,0
19,Stars,29.4,0.426086957,0
20,Panthers,25.759541,0.373326681,0
21,Avs,28.804762,0.417460319,0
22,CBJ,23.450143,0.339857145,0
23,Sharks,31.176666,0.451835739,0
24,Flyers,28.066429,0.406759841,0
25,Devils,25.1,0.363768116,0
26,Canes,33.275,0.482246377,0
27,Leafs,28.7,0.415942029,0
28,Oilers,27,0.391304348,0
29,Coyotes,25.766667,0.373429957,0
30,Sabers,22.225,0.322101449,0
1,Capitals,33.588462,0.470426639,1
2,Stars,30.3,0.424369748,1
3,Blues,32.2,0.450980392,1
4,Penguins,32.75,0.458683473,1
5,Chicago,38.338462,0.536953249,1
6,Panthers,24.109541,0.337668641,1
7,Ducks,30.475,0.426820728,1
8,Kings,30.747727,0.430640434,1
9,NYR,34,0.476190476,1
10,NYI,26.5,0.371148459,1
11,Sharks,31.176666,0.436647983,1
12,Tampa,29.75,0.416666667,1
13,Preds,28.507143,0.399259706,1
14,Flyers,27.375,0.383403361,1
15,Bruins,32.541667,0.455765644,0
16,Det,29.625,0.414915966,1
17,Wild,33.926924,0.475167003,1
18,Canes,25.691666,0.359827255,0
19,Sens,26.35,0.369047619,0
20,Devils,26.416666,0.369981317,0
21,Avs,27.554762,0.385921036,0
22,Mont,28.35,0.397058824,0
23,Sabers,25.642857,0.359143655,0
24,Coyotes,24.816667,0.347572367,0
25,Jets,26.4,0.369747899,0
26,Flames,24.45,0.342436975,0
27,CBJ,30.025,0.420518207,0
28,Canucks,29.5,0.413165266,0
29,Oilers,28,0.392156863,0
30,Leafs,19.5,0.273109244,0
1,Capitals,33.588462,0.460115918,1
2,Penguins,35,0.479452055,1
3,Chicago,39.413462,0.539910438,1
4,CBJ,30.175,0.413356164,1
5,Wild,32.614424,0.446772932,1
6,Ducks,33.875,0.464041096,1
7,Oilers,27.667,0.379,1
